Brand Name,Product Name,Colour,Price,Currency,Product ID,URL
Converse,Converse - Chuck Taylor - Baskets montantes à semelles plateformes - Noir,Noir,71.99,EUR,1462015,converse/converse-chuck-taylor-baskets-montantes-a-semelles-plateformes-noir/prd/12129496?clr=noir&colourWayId=16382061
Converse,Converse - Chuck Taylor All Star Renew - Baskets montantes en tissu recyclé - Noir,Noir,75.0,EUR,1524036,converse/converse-chuck-taylor-all-star-renew-baskets-montantes-en-tissu-recycle-noir/prd/12920063?clr=noir&colourWayId=16441320
Converse,Converse - Chuck Taylor Ox - Baskets à semelle plateforme - Noir,Noir,80.0,EUR,1461917,converse/converse-chuck-taylor-ox-baskets-a-semelle-plateforme-noir/prd/12129287?clr=noir&colourWayId=16382108
Converse,Converse - Chuck '70 Ox - Baskets - Noir,Noir,85.0,EUR,1480235,converse/converse-chuck-70-ox-baskets-noir/prd/12370468?clr=noir&colourWayId=16388843
Converse,Converse - Chuck '70 Ox - Baskets basses motif flammes,Noir,85.0,EUR,1462968,converse/converse-chuck-70-ox-baskets-basses-motif-flammes/prd/12127814?clr=noir&colourWayId=16372125
Converse,Converse - Chuck '70 - Baskets montantes - Noir,Noir,89.99,EUR,1480180,converse/converse-chuck-70-baskets-montantes-noir/prd/12370472?clr=noir&colourWayId=16388861
Converse,Converse - One Star - Baskets en daim - Noir,Noir,89.99,EUR,1480272,converse/converse-one-star-baskets-en-daim-noir/prd/12370464?clr=noir&colourWayId=16383887
Converse,Converse - One Star - Baskets à semelle plateforme - Noir,Noir,90.0,EUR,1462952,converse/converse-one-star-baskets-a-semelle-plateforme-noir/prd/12127802?clr=noir&colourWayId=16372131
DKNY,DKNY - Marini - Baskets à enfiler,Blanc noir,140.0,EUR,1474539,dkny/dkny-marini-baskets-a-enfiler/prd/12289863?clr=blanc-noir&colourWayId=16393732
Fila,Fila - Disruptor 3 - Baskets à fermeture éclair - Blanc,Blanc,65.0,EUR,1402356,fila/fila-disruptor-3-baskets-a-fermeture-eclair-blanc/prd/11311958?clr=blanc&colourWayId=16390274
Fila,Fila - Orbit Zeppa L - Baskets - Blanc,Blanc,71.99,EUR,1402351,fila/fila-orbit-zeppa-l-baskets-blanc/prd/11311992?clr=blanc&colourWayId=16382288
Fila,Fila - Disruptor II Script - Baskets - Blanc,Blanc,85.0,EUR,1402358,fila/fila-disruptor-ii-script-baskets-blanc/prd/11312058?clr=blanc&colourWayId=16381759
Fila,"Fila - Disruptor 3 - Baskets zippées - Rose, lilas et jaune",Rose,85.0,EUR,1402354,fila/fila-disruptor-3-baskets-zippees-rose-lilas-et-jaune/prd/11312022?clr=rose&colourWayId=16390270
Fila,Fila - Disruptor II Premium - Baskets - Rose,Rose,85.0,EUR,1402352,fila/fila-disruptor-ii-premium-baskets-rose/prd/11311952?clr=rose&colourWayId=16348603
Fila,Fila - Disruptor II Premium - Baskets - Jaune,Doré,85.0,EUR,1402353,fila/fila-disruptor-ii-premium-baskets-jaune/prd/11311856?clr=dore&colourWayId=16348584
Fila,Fila - Disruptor - Baskets - Noir,Noir,88.49,EUR,1354241,fila/fila-disruptor-baskets-noir/prd/10705284?clr=noir&colourWayId=15134440
Fila,Fila - Disruptor II - Baskets compensées à semelle plateforme plate - Noir - Exclusivité ASOS,Noir,124.99,EUR,1510490,fila/fila-disruptor-ii-baskets-compensees-a-semelle-plateforme-plate-noir-exclusivite-asos/prd/12744504?clr=noir&colourWayId=16443454
Fred Perry,Fred Perry - Baskets enduites à plateforme - Noir,Noir,89.99,EUR,1339846,fred-perry/fred-perry-baskets-enduites-a-plateforme-noir/prd/10532191?clr=noir&colourWayId=15124666
